DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,Gen Ed,Science,HS Physics,28,1,28
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,Gen Ed,Social Studies,HS Economics,82,3,27.3
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,Gen Ed,Social Studies,HS Global History,134,6,22.3
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,Gen Ed,Social Studies,HS Social Studies Other,14,1,14
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,Gen Ed,Social Studies,HS US History,115,5,23
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,English,HS English 09,57,2,28.5
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,English,HS English 10,43,2,21.5
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,English,HS English 11,29,1,29
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,English,HS English 12,57,2,28.5
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,English,HS English Other,52,3,17.3
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,Math,HS Algebra I,95,3,31.7
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,Math,HS Geometry,32,1,32
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,Math,HS Math Other,14,1,14
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,Science,HS Living Environment,50,2,25
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS Core,ICT,Social Studies,HS Global History,101,4,25.3
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,English,HS English 09,47,2,23.5
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,English,HS English 10,49,2,24.5
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,English,HS English 11,46,2,23
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,English,HS English 12,75,3,25
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,English,HS English Other,60,3,20
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Math,HS Algebra I,59,2,29.5
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Math,HS Algebra II,31,1,31
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Math,HS Geometry,51,2,25.5
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Math,HS Math Other,67,3,22.3
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Science,HS Chemistry,56,2,28
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Science,HS Living Environment,83,3,27.7
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Science,HS Other Life Science,172,7,24.6
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Social Studies,HS Global History,114,5,22.8
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Social Studies,HS Government,48,2,24
02M303,"FACING HISTORY SCHOOL, THE",HS Core,Gen Ed,Social Studies,HS US History,54,3,18
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,English,HS English 09,87,3,29
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,English,HS English 10,63,2,31.5
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,English,HS English 11,41,2,20.5
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,Math,HS Algebra I,126,4,31.5
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,Math,HS Algebra II,26,1,26
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,Math,HS Geometry,30,1,30
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,Math,HS Math Other,27,1,27
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,Science,HS Chemistry,97,3,32.3
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,Social Studies,HS Global History,138,5,27.6
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,Social Studies,HS Government,28,1,28
02M303,"FACING HISTORY SCHOOL, THE",HS Core,ICT,Social Studies,HS US History,30,1,30
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,English,HS English 09,74,3,24.7
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,English,HS English 10,60,3,20
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,English,HS English 11,60,2,30
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,English,HS English 12,49,2,24.5
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,English,HS English Other,126,6,21
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Math,HS Algebra I,105,5,21
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Math,HS Geometry,120,5,24
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Math,HS Math Other,23,1,23
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Science,HS Earth Science,135,5,27
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Science,HS Living Environment,92,4,23
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Science,HS Other Science,54,3,18
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Social Studies,HS Economics,39,2,19.5
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Social Studies,HS Global History,130,6,21.7
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Social Studies,HS Government,26,1,26
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Social Studies,HS Social Studies Other,85,4,21.3
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,Gen Ed,Social Studies,HS US History,79,3,26.3
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,English,HS English 09,26,1,26
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,English,HS English 10,27,1,27
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,English,HS English 11,27,1,27
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,English,HS English 12,22,1,22
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,English,HS English Other,69,3,23
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,Math,HS Algebra I,66,3,22
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,Math,HS Geometry,25,1,25
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,Science,HS Living Environment,46,2,23
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,Science,HS Other Science,24,1,24
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,Social Studies,HS Global History,73,3,24.3
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,Social Studies,HS Social Studies Other,43,2,21.5
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS Core,ICT,Social Studies,HS US History,28,1,28
02M308,LOWER MANHATTAN ARTS ACADEMY,HS Core,Gen Ed,English,HS English 09,56,3,18.7
02M308,LOWER MANHATTAN ARTS ACADEMY,HS Core,Gen Ed,English,HS English 10,48,2,24
