DBN,School Name,Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 1 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 2 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 3 or 4 in 8th Grade),Metric Value - Average score of students in the current cohort who took the ACT English exam,Metric Value - Average score of students in the current cohort who took the ACT Math exam,Metric Value - Average score of students in the current cohort who took the ACT Reading exam,Metric Value - Average score of students in the current cohort who took the ACT Science exam,Metric Value - Average score of students in the current cohort who took the SAT Math exam,Metric Value - Average score of students in the current cohort who took the SAT Reading and Writing exam
19K502,FDNY - Captain Vernon A. Richard High School for F,64.20%,77.80%,,,,,,448.1,433.3
19K504,High School for Civil Rights,58.40%,58.30%,,,,,,410.6,408.6
19K507,Performing Arts and Technology High School,57.10%,80.90%,100.00%,,,,,420.8,428.3
19K510,World Academy for Total Community Health High Scho,55.30%,100.00%,,,,,,432.3,432.1
19K583,Multicultural High School,90.50%,,,,,,,383.2,380.5
19K615,Transit Tech Career and Technical Education High S,63.00%,85.40%,92.20%,,,,,428.2,433.4
19K618,Academy of Innovative Technology,69.90%,91.70%,100.00%,,,,,453.7,447.7
19K639,Brooklyn Lab School,53.80%,73.10%,,,,,,438.7,436.6
19K659,Cypress Hills Collegiate Preparatory School,68.90%,85.70%,,,,,,439.3,442.4
19K660,W. H. Maxwell Career and Technical Education High,63.20%,83.60%,93.80%,,,,,407.4,421.2
19K683,"The School for Classics: An Academy of Thinkers, W",64.10%,93.90%,,,,,,410.1,426.7
19K764,The Urban Assembly School for Collaborative Health,72.00%,88.90%,,,,,,451.1,463.5
20K445,New Utrecht High School,61.50%,83.90%,93.60%,21.7,23.9,22.2,22.6,535.1,492.3
20K485,High School of Telecommunication Arts and Technolo,75.70%,90.80%,97.50%,21.3,22.7,20.5,21.4,518.9,505.9
20K490,Fort Hamilton High School,56.10%,82.40%,95.00%,23.3,23.9,23.7,22.9,543.8,520.9
20K505,Franklin Delano Roosevelt High School,55.00%,81.60%,92.30%,23.9,26.3,21.7,24.8,501.7,465.4
20K609,Urban Assembly School for Criminal Justice,87.80%,97.80%,100.00%,,,,,505.5,511.9
21K337,International High School at Lafayette,76.00%,,,,,,,453.5,418.6
21K344,Rachel Carson High School for Coastal Studies,56.40%,76.90%,89.90%,,,,,486.6,489.6
21K348,High School of Sports Management,63.40%,74.10%,,,,,,483,475.2
21K410,Abraham Lincoln High School,63.50%,86.90%,94.70%,,,,,466.5,457
21K468,Kingsborough Early College School,,98.10%,100.00%,,,,,548.1,531.7
21K525,Edward R. Murrow High School,55.30%,83.30%,95.60%,22.3,22.8,22.9,22.4,537.6,528.6
21K540,John Dewey High School,61.20%,90.30%,93.30%,18.9,20.8,20,19.9,516.9,490.8
21K559,Life Academy High School for Film and Music,81.40%,98.00%,92.30%,,,,,448.9,473.3
21K572,Expeditionary Learning School for Community Leader,84.80%,93.90%,91.30%,,,,,465.4,484
21K620,William E. Grady Career and Technical Education Hi,52.80%,88.60%,93.80%,,,,,444.8,438.3
21K690,Brooklyn Studio Secondary School,67.90%,88.20%,92.20%,,,,,511,498.3
22K405,Midwood High School,64.30%,81.30%,97.90%,25.5,26,26,24.8,597.1,573.6
22K425,James Madison High School,66.40%,90.90%,94.00%,20.4,21.7,21.7,21.5,527.6,505.5
22K535,Leon M. Goldstein High School for the Sciences,57.10%,84.10%,98.50%,28.2,28.6,27.3,27.1,647.4,621.6
22K555,Brooklyn College Academy,95.00%,95.50%,99.50%,26.2,24.9,27,23.2,561.6,566.9
22K611,Origins High School,65.30%,94.60%,100.00%,,,,,470.7,464.7
23K493,Brooklyn Collegiate: A College Board School,58.50%,91.50%,,,,,,440.4,450
23K514,Frederick Douglass Academy VII High School,55.60%,75.00%,,,,,,406.4,432.5
23K644,Eagle Academy for Young Men II,90.70%,97.80%,,,,,,426.9,453
23K697,Teachers Preparatory High School,64.30%,91.70%,,,,,,431.6,455.4
24Q236,International High School for Health Sciences,66.70%,100.00%,,,,,,432.1,424.6
24Q264,Academy of Finance and Enterprise,87.10%,96.00%,99.00%,,,,,538.1,521
24Q267,High School of Applied Communication,80.80%,86.50%,84.10%,,,,,470.7,476.4
24Q293,Civic Leadership Academy,79.60%,95.20%,98.60%,,,,,521.1,510.3
24Q296,Pan American International High School,91.20%,,,,,,,391.5,384.5
24Q299,Bard High School Early College Queens,,,99.60%,29.9,28.5,29.5,26.5,676.1,651.9
24Q455,Newtown High School,59.70%,85.10%,89.00%,19.9,22.5,18.6,20.2,463.4,457.8
24Q485,Grover Cleveland High School,45.60%,76.70%,84.10%,,,,,455.7,446.6
24Q520,Middle College High School at LaGuardia Community,75.50%,80.40%,91.70%,,,,,448.5,460.9
24Q530,International High School at LaGuardia Community C,78.20%,92.90%,100.00%,,,,,460.4,443.1
24Q550,High School for Arts and Business,78.20%,95.30%,99.20%,,,,,505.4,497.9
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",82.70%,97.40%,98.80%,19.5,18.3,18.8,19.4,496.1,498.9
24Q585,Maspeth High School,95.20%,96.90%,99.30%,,,,,554.5,552.6
24Q600,Queens Vocational and Technical High School,59.20%,87.60%,95.80%,,,,,487.3,479.8
24Q610,Aviation Career & Technical Education High School,81.10%,93.60%,98.40%,20.2,23.8,21,21,552.1,522.9
25Q240,Veritas Academy,72.70%,87.10%,95.80%,,,,,489.1,491.9
25Q241,Queens High School for Language Studies,92.00%,93.90%,98.00%,,,,,544.5,503.8
