DBN,School Name,Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 1 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 2 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 3 or 4 in 8th Grade),Metric Value - Average score of students in the current cohort who took the ACT English exam,Metric Value - Average score of students in the current cohort who took the ACT Math exam,Metric Value - Average score of students in the current cohort who took the ACT Reading exam,Metric Value - Average score of students in the current cohort who took the ACT Science exam,Metric Value - Average score of students in the current cohort who took the SAT Math exam,Metric Value - Average score of students in the current cohort who took the SAT Reading and Writing exam
02M282,Urban Assembly Maker Academy,61.90%,100.00%,97.30%,,,,,521.7,514
02M288,Food and Finance High School,71.40%,95.20%,97.80%,,,,,457.6,468.3
02M294,Essex Street Academy,78.60%,86.80%,92.90%,,,,,448.3,478.9
02M296,High School of Hospitality Management,58.00%,85.50%,93.30%,,,,,450.9,451.7
02M298,Pace High School,68.80%,88.90%,100.00%,19.6,19.1,19.2,19.3,509.3,516.7
02M300,"Urban Assembly School of Design and Construction,",48.10%,75.90%,90.30%,,,,,470.6,462
02M303,"Facing History School, The",62.50%,87.30%,100.00%,,,,,423.3,441.5
02M305,"Urban Assembly Academy of Government and Law, The",68.60%,97.10%,88.00%,,,,,440.6,457.9
02M308,Lower Manhattan Arts Academy,66.70%,89.70%,90.00%,,,,,454.7,471.4
02M316,"Urban Assembly School of Business for Young Women,",54.50%,78.90%,100.00%,,,,,439.1,462.3
02M374,Gramercy Arts High School,68.30%,84.80%,90.40%,,,,,449.2,481.3
02M376,NYC iSchool,,95.90%,99.30%,25.2,23.1,24.6,22.9,550.5,566.5
02M392,MANHATTAN BUSINESS ACADEMY,83.30%,89.80%,91.40%,,,,,454.7,473.2
02M393,Business Of Sports School,69.00%,90.10%,96.20%,,,,,441.1,441.5
02M399,The High School For Language And Diplomacy,60.90%,91.10%,94.40%,,,,,506.7,491.1
02M400,High School for Environmental Studies,53.70%,80.00%,96.90%,22.8,22.5,22.8,21.8,507.2,511
02M407,Institute for Collaborative Education,,,96.40%,27.7,22.7,27.7,23.5,558.6,612.8
02M408,Professional Performing Arts High School,86.40%,89.10%,97.70%,26.5,23.2,26.1,23.8,528.3,566.6
02M411,Baruch College Campus High School,,96.00%,100.00%,27.7,25.1,27.4,25.7,627.5,608.2
02M412,N.Y.C. Lab School for Collaborative Studies,,97.10%,99.60%,28.7,26.3,27.9,25.6,626.7,612.4
02M413,School of the Future High School,,100.00%,97.70%,24.7,23.1,24.5,23.1,537.7,563.4
02M414,N.Y.C. Museum School,,96.80%,100.00%,,,,,579.6,566.9
02M416,Eleanor Roosevelt High School,,,100.00%,32.1,29.6,31,29.4,672.8,656.2
02M418,Millennium High School,,93.80%,99.60%,29.3,27.1,28.3,26.4,654.6,630.1
02M419,Landmark High School,63.00%,70.50%,,,,,,436.2,457.7
02M420,High School for Health Professions and Human Servi,78.90%,93.60%,98.10%,22,22.7,23.1,21.7,524.9,521
02M422,Quest to Learn,66.70%,79.20%,90.00%,,,,,504.5,525.6
02M425,Leadership and Public Service High School,53.30%,85.10%,95.30%,,,,,453,471.5
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,79.60%,94.10%,,,,,,463.7,431
02M432,Murray Hill Academy,61.70%,80.00%,87.50%,,,,,453.8,461
02M437,Hudson High School of Learning Technologies,49.00%,80.20%,93.10%,,,,,455.6,462
02M438,International High School at Union Square,55.90%,,,,,,,435.3,405.3
02M439,Manhattan Village Academy,100.00%,100.00%,100.00%,,,,,573.6,551.5
02M449,Vanguard High School,60.00%,88.20%,85.40%,,,,,460.8,465.9
02M459,Manhattan International High School,73.30%,88.90%,,,,,,422.4,424.2
02M475,Stuyvesant High School,,,98.50%,33.7,33.7,33.1,31.8,773.9,722.3
02M489,High School of Economics and Finance,70.60%,91.00%,97.90%,19.8,22.5,20.3,20.8,526.6,522.8
02M500,Unity Center for Urban Technologies,80.30%,81.60%,100.00%,,,,,439.3,460.5
02M507,Urban Assembly Gateway School for Technology,77.40%,94.30%,96.30%,,,,,497.6,500.3
02M519,Talent Unlimited High School,94.10%,96.60%,99.00%,23.5,23.1,24.2,21.9,519.7,541.1
02M520,Murry Bergtraum High School for Business Careers,36.10%,73.50%,88.40%,,,,,439.5,444.9
02M529,Jacqueline Kennedy Onassis High School,44.10%,73.90%,97.70%,,,,,443.3,462.7
02M531,Repertory Company High School for Theatre Arts,96.20%,100.00%,97.60%,,,,,463.9,485
02M533,Union Square Academy for Health Sciences,64.80%,94.10%,100.00%,,,,,469.3,469.8
02M534,Harvest Collegiate High School,81.30%,85.10%,94.40%,,,,,471.9,500.4
02M542,Manhattan Bridges High School,82.80%,95.90%,100.00%,,,,,471.7,442
02M543,New Design High School,80.30%,96.40%,95.80%,,,,,441.7,464.3
02M545,High School for Dual Language and Asian Studies,,98.00%,100.00%,,,,,666.4,568.7
02M546,Academy for Software Engineering,66.10%,90.80%,98.40%,,,,,484.8,489.1
02M551,Urban Assembly New York Harbor School,67.60%,81.30%,91.20%,19.9,20,23.7,22.4,504.8,544
02M580,Richard R. Green High School of Teaching,48.30%,87.60%,89.70%,,,,,465.7,471.8
02M600,The High School of Fashion Industries,83.50%,96.70%,98.30%,18.3,18.9,19.6,18.8,485.6,499.8
02M605,Humanities Preparatory Academy,74.10%,81.30%,88.00%,,,,,470.8,483.7
02M615,Chelsea Career and Technical Education High School,59.30%,84.10%,84.50%,,,,,497.7,494.4
02M630,Art and Design High School,65.50%,86.10%,94.90%,,,,,481.9,501.4
02M655,Life Sciences Secondary School,50.00%,83.70%,82.50%,,,,,443,452.5
03M299,The Maxine Greene HS for Imaginative Inquiry,42.90%,86.80%,87.50%,,,,,420.1,441
03M307,"Urban Assembly School for Media Studies, The",71.60%,87.30%,90.50%,,,,,433,448.7
03M402,The Urban Assembly School for Green Careers,71.80%,93.00%,100.00%,,,,,424.2,458.8
03M403,The Global Learning Collaborative,73.70%,83.90%,96.30%,,,,,445.9,462
03M415,Wadleigh Secondary School for the Performing & Vis,64.40%,92.50%,,,,,,429.4,442.1
03M417,Frank Mccourt High School,78.90%,95.60%,99.10%,,,,,527,554.5
03M479,Beacon High School,,95.80%,99.40%,29.7,26.5,28.8,26.3,615.2,635.2
03M485,Fiorello H. LaGuardia High School of Music & Art a,,98.50%,98.20%,30.4,27.3,29.5,26.8,643,644.8
03M492,"High School for Law, Advocacy and Community Justic",53.50%,84.10%,98.00%,,,,,458.2,474.8
03M494,High School of Arts and Technology,56.60%,71.40%,84.00%,,,,,426,453.9
03M541,Manhattan / Hunter Science High School,,100.00%,98.40%,26.8,26,25.6,23.9,645.2,624.2
03M859,Special Music School,,93.80%,100.00%,,,,,566.1,584.3
03M860,Frederick Douglass Academy II Secondary School,67.40%,84.20%,,,,,,445.4,449.2
04M372,Esperanza Preparatory Academy,76.10%,90.60%,,,,,,443,421.3
04M409,Coalition School for Social Change,70.80%,81.50%,,,,,,426.9,435.9
04M435,Manhattan Center for Science and Mathematics,86.10%,95.10%,97.90%,23.8,25.6,23.8,24,605.8,569.9
04M495,Park East High School,95.70%,96.80%,100.00%,,,,,486.2,488
04M555,Central Park East High School,93.30%,96.30%,99.20%,,,,,541.5,543.4
04M610,Young Women's Leadership School,100.00%,100.00%,100.00%,20.7,19.8,20.7,19.4,524.8,537.7
04M680,"Heritage School, The",60.70%,84.80%,,,,,,443.4,448.3
05M148,Eagle Academy for Young Men of Harlem,,,,,,,,,
05M157,The Urban Assembly School for Global Commerce,56.30%,86.50%,,,,,,432.3,444.2
05M304,Mott Hall High School,48.20%,90.60%,89.50%,,,,,419.1,429.1
05M362,Columbia Secondary School,,100.00%,99.30%,,,,,625.5,625.2
05M367,Academy for Social Action,25.00%,,,,,,,408.4,410.5
05M369,Urban Assembly School for the Performing Arts,63.90%,92.90%,,,,,,427.8,448.9
05M499,Frederick Douglass Academy,63.60%,87.80%,93.80%,21.7,20.3,22.1,19.9,479,492.1
05M670,Thurgood Marshall Academy for Learning and Social,73.20%,86.10%,87.50%,19.2,18.2,19.3,19.9,466.8,485.9
05M692,"High School for Mathematics, Science and Engineeri",,,98.90%,31.6,31.6,31.5,29.8,735.1,689.3
06M211,Inwood Early College for Health and Information Te,70.60%,93.50%,100.00%,,,,,491.3,482.5
06M293,City College Academy of the Arts,86.70%,100.00%,100.00%,,,,,532.2,522.4
06M346,Community Health Academy of the Heights,70.90%,92.70%,,,,,,474.7,471.7
06M348,Washington Heights Expeditionary Learning School,60.00%,79.30%,90.20%,,,,,477.5,466.8
06M462,The College Academy,60.70%,84.10%,,,,,,427.6,428.8
06M463,High School for Media and Communications,47.80%,66.70%,,,,,,396.7,401.9
06M467,High School for Law and Public Service,63.80%,87.10%,97.00%,,,,,417.5,429.8
06M468,High School for Health Careers and Sciences,61.70%,91.10%,100.00%,,,,,437.3,454.6
06M540,A. Philip Randolph Campus High School,57.40%,82.20%,92.90%,,,,,486.9,481.8
06M552,Gregorio Luperon High School for Science and Mathe,67.30%,,,,,,,446.9,439.8
07X221,South Bronx Preparatory: A College Board School,90.90%,97.00%,100.00%,,,,,435.9,441.8
07X223,The Laboratory School of Finance and Technology: X,86.30%,92.90%,95.70%,,,,,496.2,487.1
07X259,"H.E.R.O. High (Health, Education, and Research Occ",63.20%,88.70%,81.80%,,,,,438.7,453.2
07X334,International Community High School,60.00%,,,,,,,394.9,398.1
07X427,Community School for Social Justice,51.40%,70.30%,,,,,,395.4,438.4
07X473,Mott Haven Village Preparatory High School,41.00%,65.20%,86.70%,,,,,415.3,421.5
07X495,University Heights Secondary School,,100.00%,99.00%,,,,,484.4,498.6
07X500,Hostos-Lincoln Academy of Science,66.70%,84.90%,93.20%,,,,,497.9,514.2
07X522,Bronx Design and Construction Academy,35.20%,71.10%,85.70%,,,,,447.9,440.9
07X527,Bronx Leadership Academy II High School,63.90%,80.00%,100.00%,,,,,424,432.3
07X547,New Explorers High School,36.70%,73.30%,,,,,,391.4,411.8
07X548,Careers in Sports High School,40.20%,77.80%,84.50%,,,,,443.7,440.5
07X551,The Urban Assembly Bronx Academy of Letters,78.70%,94.60%,,,,,,434,454.3
07X600,Alfred E. Smith Career and Technical Education Hig,72.50%,83.60%,,,,,,410.5,418.1
07X670,Health Opportunities High School,35.00%,77.50%,86.20%,,,,,439.8,444.7
08X269,Bronx Studio School for Writers and Artists,47.50%,83.30%,91.70%,,,,,467.7,483.7
08X282,Women's Academy of Excellence,53.70%,77.30%,93.80%,,,,,432.1,438.6
08X293,Renaissance High School for Musical Theater & Tech,60.60%,80.30%,100.00%,,,,,436.6,456.1
08X312,Millennium Art Academy,67.50%,91.50%,83.30%,,,,,411.9,449.6
08X320,Pelham Lab High School,52.60%,69.60%,96.00%,,,,,439.6,447.9
08X332,Holcombe L. Rucker School of Community Research,48.50%,88.20%,,,,,,427.1,434.3
08X348,Schuylerville Preparatory High School,66.70%,88.90%,95.50%,,,,,455.3,464
08X349,Bronx River High School,74.00%,80.90%,87.50%,,,,,441.5,445.8
08X367,"Archimedes Academy for Math, Science and Technolog",46.00%,83.70%,92.00%,,,,,463.6,466.8
08X376,Antonia Pantoja Preparatory Academy: A College Boa,52.60%,66.70%,,,,,,425.7,438.4
08X405,Herbert H. Lehman High School,35.90%,73.10%,90.70%,,,,,472,467.5
08X432,Bronx Bridges High School,56.00%,,,,,,,387,396.8
08X452,Gotham Collaborative High School,56.10%,86.40%,,,,,,408.1,436.2
08X519,Felisa Rincon de Gautier Institute for Law and Pub,25.00%,68.40%,,,,,,376.7,398.2
08X530,Longwood Preparatory Academy,61.40%,,,,,,,410,412.7
08X558,Westchester Square Academy,61.00%,84.10%,95.20%,,,,,481.5,485.7
08X559,School for Tourism and Hospitality,32.50%,73.70%,,,,,,420,433.3
08X561,Bronx Compass High School,42.90%,70.70%,75.00%,,,,,439.6,448.6
09X227,Bronx Collegiate Academy,66.30%,90.20%,,,,,,433.3,449.4
09X231,Eagle Academy for Young Men,57.10%,84.20%,,,,,,472.9,482.7
09X241,Urban Assembly School for Applied Math and Science,69.50%,93.50%,95.20%,,,,,469.5,463.7
09X250,Eximius College Preparatory Academy: A College Boa,74.00%,100.00%,100.00%,,,,,447.3,462.7
09X252,Mott Hall Bronx High School,69.00%,84.80%,100.00%,,,,,454.4,462.6
09X260,Bronx Center for Science and Mathematics,69.80%,96.70%,98.00%,25.6,23.3,24.7,23.3,533,534.3
09X263,Validus Preparatory Academy,51.60%,70.80%,93.30%,,,,,444,451.3
09X297,Morris Academy for Collaborative Studies,62.00%,91.40%,,,,,,448.4,455.6
09X324,Bronx Early College Academy for Teaching & Learnin,81.30%,83.30%,90.00%,,,,,470.9,474.6
09X327,Comprehensive Model School Project M.S. 327,61.80%,88.10%,94.70%,,,,,509.7,485.3
09X329,DreamYard Preparatory School,47.10%,93.30%,,,,,,428.7,444.9
09X365,Academy for Language and Technology,98.60%,100.00%,,,,,,437.2,416.5
09X403,Bronx International High School,71.40%,,,,,,,397.4,388.1
09X404,School for Excellence,54.70%,80.00%,100.00%,,,,,419.1,442.1
09X412,Bronx High School of Business,63.20%,61.10%,,,,,,398.3,407.4
09X413,Bronx High School for Medical Science,60.50%,88.40%,100.00%,,,,,489.5,489.3
09X505,"Bronx School for Law, Government and Justice",72.40%,82.70%,97.80%,,,,,463.2,495.3
09X517,Frederick Douglass Academy III Secondary School,53.50%,88.50%,,,,,,430.2,439.5
09X525,Bronx Leadership Academy High School,45.90%,73.70%,89.30%,,,,,412.6,436.5
09X543,High School for Violin and Dance,57.60%,89.50%,94.70%,,,,,398.3,409.5
09X564,Claremont International HS,51.20%,,,,,,,399.3,388.2
09X568,Young Women's Leadership School of the Bronx,,,,,,,,,
10X141,Riverdale / Kingsbridge Academy (Middle School / H,72.40%,93.90%,96.90%,23.1,23.5,23.9,22.9,503,518.4
10X213,Bronx Engineering and Technology Academy,56.70%,85.10%,100.00%,,,,,441.2,459.9
10X225,Theatre Arts Production Company School,53.00%,89.20%,88.00%,,,,,455.3,461.6
10X237,"The Marie Curie School for Medicine, Nursing, and",54.10%,71.70%,90.60%,16.8,15.4,16.4,16.6,439.6,456.4
10X243,West Bronx Academy for the Future,76.90%,95.70%,100.00%,,,,,426.9,440.5
10X264,Bronx Academy for Software Engineering (BASE),49.30%,76.30%,93.30%,,,,,461,473.3
10X268,Kingsbridge International High School,39.60%,,,,,,,402.4,401.2
10X284,Bronx School of Law and Finance,60.30%,87.70%,100.00%,,,,,413,439.7
10X342,International School for Liberal Arts,62.80%,94.60%,,,,,,432,424.6
10X351,Bronx Collaborative High School,48.80%,70.00%,83.30%,,,,,424.9,441.9
10X353,World View High School,74.50%,88.60%,,,,,,429.6,449.6
10X368,In-Tech Academy (M.S. / High School 368),69.90%,87.30%,98.00%,,,,,465.1,479.4
10X374,Knowledge and Power Preparatory Academy Internatio,81.50%,97.00%,100.00%,17,17.3,16.6,18.6,442.6,450.4
10X433,High School for Teaching and the Professions,69.10%,91.50%,87.00%,15.1,15.8,14.2,16.6,424.3,428.5
10X434,Belmont Preparatory High School,82.60%,92.10%,95.00%,,,,,465.9,475.3
10X437,Fordham High School for the Arts,92.90%,94.00%,97.80%,,,,,480,494.6
10X438,Fordham Leadership Academy,68.20%,94.10%,,,,,,432,433.9
10X439,Bronx High School for Law and Community Service,80.80%,98.10%,100.00%,,,,,449,464.1
10X440,DeWitt Clinton High School,40.30%,83.60%,92.00%,,,,,467.9,475.5
10X442,"Celia Cruz Bronx High School of Music, The",90.90%,96.20%,100.00%,,,,,462.3,479.9
10X445,The Bronx High School of Science,,,99.80%,32.6,32.7,32.2,30.8,752.8,698.5
10X477,Marble Hill High School for International Studies,81.40%,92.30%,97.80%,,,,,487.3,485.8
10X524,Crotona International High School,63.50%,,,,,,,386.6,378.7
10X546,Bronx Theatre High School,66.20%,83.70%,,,,,,450,456.8
10X549,Discovery High School,71.70%,90.90%,100.00%,,,,,466.2,450.4
10X565,High School for Energy and Technology,59.30%,77.90%,91.30%,,,,,433.8,437.2
10X696,High School of American Studies at Lehman College,,,99.30%,34.1,30.2,33.4,31.5,706.7,716.8
11X249,Bronx Health Sciences High School,75.00%,98.00%,100.00%,,,,,496.5,506
11X253,Bronx High School for Writing and Communication Ar,49.40%,81.30%,,,,,,419,439.2
11X265,Bronx Lab School,49.60%,74.00%,100.00%,,,,,434.4,446.9
11X270,Academy for Scholarship and Entrepreneurship: A Co,62.10%,74.30%,,,,,,422.7,438.8
11X275,High School of Computers and Technology,56.70%,84.00%,78.90%,,,,,461.7,479.8
11X288,Collegiate Institute for Math and Science,52.80%,94.70%,98.60%,19.6,22.1,21.1,20.2,529.7,533.3
11X290,Bronx Academy of Health Careers,65.20%,93.00%,94.10%,,,,,426.4,440
11X299,Astor Collegiate Academy,66.30%,83.30%,90.70%,,,,,465.1,469.4
11X418,Bronx High School for the Visual Arts,54.00%,80.90%,87.50%,,,,,419.5,426.8
11X455,Harry S Truman High School,66.30%,87.70%,93.80%,,,,,446.1,448.7
11X508,Bronxdale High School,70.50%,81.80%,100.00%,,,,,448.7,463.3
11X509,High School of Language and Innovation,68.90%,86.70%,,,,,,424.8,413.2
11X513,New World High School,88.10%,96.90%,,,,,,465.1,423.2
11X514,The Bronxwood Preparatory Academy,42.40%,79.20%,,,,,,432.8,446.1
11X542,Pelham Preparatory Academy,84.40%,91.50%,96.10%,,,,,481.8,497.1
11X544,High School for Contemporary Arts,68.80%,81.00%,100.00%,,,,,415.5,430.6
11X545,Bronx Aerospace High School,46.30%,86.40%,100.00%,,,,,428.3,444
12X242,Mott Hall V,82.00%,92.20%,98.00%,,,,,479.6,473.8
12X248,"Metropolitan High School, The",34.90%,75.00%,,,,,,400.2,426.5
12X251,Explorations Academy H.S.,64.80%,85.00%,94.40%,,,,,425.5,440.7
12X267,Bronx Latin,89.50%,95.30%,100.00%,,,,,475.4,473.9
12X271,East Bronx Academy for the Future,73.50%,85.20%,,,,,,439.7,452.8
12X372,Urban Assembly School for Wildlife Conservation,50.70%,96.60%,100.00%,,,,,456.2,455.7
12X388,Pan American International High School at Monroe,71.40%,,,,,,,405.7,396.7
12X478,The Cinema School,86.20%,93.20%,93.00%,,,,,465.8,485.8
12X479,Bronx Career and College Preparatory High School,35.60%,75.00%,83.30%,,,,,442.7,445.6
12X511,Bronx Envision Academy,61.00%,78.90%,93.80%,,,,,415.1,437.4
12X521,The Metropolitan Soundview High School,51.00%,82.50%,,,,,,440.8,445.9
12X550,High School of World Cultures,57.10%,,,,,,,414.2,399.6
12X682,Fannie Lou Hamer Freedom High School,61.80%,82.50%,94.10%,,,,,415.9,433.5
12X684,Wings Academy,33.00%,77.60%,100.00%,,,,,420,434.1
13K265,Dr. Susan S. McKinney Secondary School of the Arts,57.40%,91.70%,93.80%,,,,,436.1,454.5
13K350,Urban Assembly School for Music and Art,70.70%,86.80%,,,,,,442.1,447.4
13K412,Brooklyn Community Arts & Media High School (BCAM),66.00%,92.60%,,,,,,414,444
13K419,"Science Skills Center High School for Science, Tec",73.60%,95.10%,98.40%,,,,,464.9,484.9
13K430,Brooklyn Technical High School,,100.00%,98.30%,29.6,30.1,29.4,27.8,722,665.6
