Grade Level,Program Type,Department,Class Size,Number of Students,Number of Classes,% of Students within Grade
MS Core,SC,English,12,3648,305,27.1
MS Core,SC,English,13,1209,94,9.0
MS Core,SC,English,14,308,22,2.3
MS Core,SC,English,15,135,9,1.0
MS Core,SC,English,>15,540,35,4.0
MS Core,SC,Math,< 6,353,92,2.9
MS Core,SC,Math,6,246,42,2.0
MS Core,SC,Math,7,560,80,4.6
MS Core,SC,Math,8,1056,132,8.6
MS Core,SC,Math,9,1233,139,10.1
MS Core,SC,Math,10,1420,142,11.6
MS Core,SC,Math,11,2266,210,18.5
MS Core,SC,Math,12,3264,273,26.6
MS Core,SC,Math,13,1105,85,9.0
MS Core,SC,Math,14,238,18,1.9
MS Core,SC,Math,15,90,6,0.7
MS Core,SC,Math,>15,424,28,3.5
MS Core,SC,Science,< 6,314,80,2.9
MS Core,SC,Science,6,264,45,2.4
MS Core,SC,Science,7,504,72,4.6
MS Core,SC,Science,8,912,114,8.3
MS Core,SC,Science,9,1080,122,9.9
MS Core,SC,Science,10,1370,138,12.5
MS Core,SC,Science,11,2035,190,18.6
MS Core,SC,Science,12,2892,242,26.4
MS Core,SC,Science,13,1027,80,9.4
MS Core,SC,Science,14,210,15,1.9
MS Core,SC,Science,15,105,7,1.0
MS Core,SC,Science,>15,244,13,2.2
MS Core,SC,Social Studies,< 6,304,76,2.8
MS Core,SC,Social Studies,6,228,39,2.1
MS Core,SC,Social Studies,7,497,71,4.6
MS Core,SC,Social Studies,8,856,108,7.9
MS Core,SC,Social Studies,9,1098,123,10.2
MS Core,SC,Social Studies,10,1280,129,11.9
MS Core,SC,Social Studies,11,2057,192,19.1
MS Core,SC,Social Studies,12,2772,232,25.7
MS Core,SC,Social Studies,13,988,77,9.2
MS Core,SC,Social Studies,14,238,17,2.2
MS Core,SC,Social Studies,15,90,6,0.8
MS Core,SC,Social Studies,>15,377,22,3.5
